Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Publisher,Guideline Name,Status,Media Name,Ecosystem,Protection Level,Value,Unit,Notes,Look-up table ,Documentation/Spec Sheet Url,Citation,Reviewer,Last Reviewed
Escherichia coli,,",Total",Escherichia coli,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,100,#/100mL,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total",Ethanolamine,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,200,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Ethylbenzene,,",Total",Ethylbenzene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,8,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Endosulfan,,,Endosulfan,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.003,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/327/,,,
Endosulfan,,,Endosulfan,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Acute,0.09,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/327/,,,
Ethylenediamine,,",Total",Ethylene diamine,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Ethylene dibromide,,",Total",Ethylene dibromide,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,5,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Ethylene glycol,,",Total",Ethylene glycol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,2000,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Endosulfan,,,Endosulfan,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.002,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/327/,,,
Ethylene thiourea,,",Total",Ethylene thiourea,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,60,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Eugenol,,",Total",Eugenol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,30,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Fenthion,,",Total",Fenthion,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.006,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Fluoranthene,,",Total",Fluoranthene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.0008,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Ethylbenzene,,,Ethylbenzene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,90,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/179/,,,
Fluorene,,",Total",Fluorene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.2,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Ethylbenzene,,,Ethylbenzene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,25,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/179/,,,
Ethylene glycol,,,Ethylene glycol,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,192000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/181/,,,
Formaldehyde,,",Total",Formaldehyde,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.8,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total",Furfuryl alcohol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Fluoranthene,,,Fluoranthene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.04,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,,
Fluorene,,,Fluorene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,3,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,,
Guaiacol,,",Total",Guaiacol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Azinphos-methyl,,",Total",Guthion,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.005,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total",Heptachlor + heptachlor epoxide,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.001,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Hexachlorobenzene,,",Total",Hexachlorobenzene,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.0065,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Hexachlorobutadiene,,",Total",Hexachlorobutadiene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.009,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Fluoride,,,Fluoride,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,120,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/180/,,,
Glyphosate,,,Glyphosate,"CA,CA-AB,CA-QC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,27000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/182/,,,
Hexachlorocyclopentadiene,,",Total",Hexachlorocyclopentadiene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.06,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Hexachloroethane,,",Total",Hexachloroethane,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Hydrogen sulfide,,",Total",Hydrogen sulphide,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,2,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
2-Phenylphenol,,",Total","Hydroxybiphenyl, 2-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,6,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Glyphosate,,,Glyphosate,"CA,CA-AB,CA-QC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,800,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/182/,,,
Glyphosate,,",Total",Glyphosate,CA-SK,SK Gov,EPB 356,Interim,Water,Freshwater,Chronic,65,ug/L,,,http://www.saskh2o.ca/pdf/epb356.pdf,,MK,2020-12-16
Iodine,,",Total",Iodine,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,100,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Iodine-131,,",Total",Iodine-131,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,10,Bq/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Iron,,",Total",Iron,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,300,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Hexachlorobutadiene,,,Hexachlorobutadiene,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.3,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/186/,,,
Isopropanol,,",Total",Isopropyl alcohol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,300,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Lead,,",Total",Lead,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,if (0 ≤ hardness < 30) \{ 1 \} else if (30 ≤ hardness ≤ 80) \{ 3 \} else if (80 < hardness) \{ 5 \},ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-30
Lead,,",Total",Lead,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,if (0 ≤ alkalinity < 20) \{ 5 \} else if (20 ≤ alkalinity < 40) \{ 10 \} else if (40 ≤ alkalinity < 80) \{ 20 \} else if (80 ≤ alkalinity) \{ 25 \},ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-30
Lindane,,Total,Hexachlorocyclohexane,"CA,CA-AB,CA-SK,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.01,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,,
Limonene,,",Total",Limonene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,4,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Lindane,,",Total",Lindane (gamma-BHC),CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.01,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Imidacloprid,,,Imidacloprid,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.23,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/187/,,,
Malathion,,",Total",Malathion,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Imidacloprid,,,Imidacloprid,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.65,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/187/,,,
Iron,,Total,Iron,"CA,CA-AB,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,300,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=123,,MK,2020-10-09
Lead,,Total,Lead,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,"if (0 ≤ hardness ≤ 60) \{ 1 \} else \{ e^{1.273[ln(min(hardness, 180))]-4.705} \}",ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,MK,2020-10-09
Mercury,,",Total",Mercury,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.2,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Lead,,",Total",Lead,CA-SK,SK Gov,EPB 356,Interim,Water,Freshwater,Chronic,if (0 ≤ hardness ≤ 60) \{ 1 \} else if (60 < hardness ≤ 120) \{ 2 \} else if (120 < hardness ≤ 180) \{ 4 \} else if (180 < hardness) \{ 7 \},ug/L,,,http://www.saskh2o.ca/pdf/epb356.pdf,,MK,2020-12-16
Linuron,,,Linuron,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,7,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/189/,,,
Methanol,,",Total",Methanol,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,200,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Manganese,,Dissolved,Manganese,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,"e^{0.878[ln(max(25, min(hardness, 250)))]+4.76}",ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=129,,MK,2020-10-09
Methoxychlor,,",Total",Methoxychlor,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.04,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Methyl ethyl ketone,,",Total",Methyl ethyl ketone,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,400,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Manganese,,Dissolved,Manganese,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,430,ug/L,"long-term CWQG is found using a table or benchmark calculator, 430ug/L is the value for hardness=50 mg/L CaCO3 and pH=7.5",,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=129,,MK,2020-10-09
Manganese,,Dissolved,Manganese,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,,ug/L,No equation given see look-up table. Hardness and pH toxicity modifying factors,Table 5,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=129,,MK,2020-10-26
4-Methyl-2-pentanol,,",Total","Methyl-2-pentanol, 4-",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,600,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Methyl tert-butyl ether,,",Total",Methyl-t-butyl ether (MTBE),CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,200,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Methylene chloride,,",Total",Methylene chloride,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,100,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Mercury,,Total,Mercury,"CA,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.026,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=131,,MK,2020-10-26
1-Methylnaphthalene,,",Total","Methylnaphthalene, 1-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,2,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
2-Methylnaphthalene,,",Total","Methylnaphthalene, 2-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,2,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Metolachlor,,",Total",Metolachlor,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,3,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Mercury,,Total,Mercury,"CA,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.016,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=131,,MK,2020-10-26
Methoprene,,,Methoprene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.09,ug/L,target organism management value: 0.53,,http://ceqg-rcqe.ccme.ca/download/en/192/,,,
Mirex,,",Total",Mirex (Dechlorane),CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.001,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Molybdenum,,",Total",Molybdenum,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,40,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Methyl tert-butyl ether,,,Methyl tertiary-butyl ether,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,10000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/196/,,,
Methyl tert-butyl ether,,,Methyl tertiary-butyl ether,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,5000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/196/,,,
Methylmercury(1+),,Total,Methylmercury,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.004,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=131,,MK,2020-10-26
Metolachlor,,,Metolachlor,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,7.8,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/193/,,,
Methylamine,,",Total",Monomethylamine,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,50,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total",Morpholine,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,4,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Naphthalene,,",Total",Naphthalene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,7,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Metribuzin,,,Metribuzin,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/194/,,,
Molybdenum,,Total,Molybdenum,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Interim,Water,Freshwater,Chronic,73,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=138,,MK,2020-10-26
Nickel,,",Total",Nickel,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,25,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Monochlorobenzene,,,Monochlorobenzene,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.3,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/152/,,,
Monochlorobenzene,,,Monochlorobenzene,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,25,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/152/,,,
Chlorophenol,,,Monochlorophenols,"CA,CA-AB,CA-MB,CA-ON,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,7,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=51,,,
Naphthalene,,,Naphthalene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.1,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,,
Naphthalene,,,Naphthalene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,1.4,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,,
Nickel,,Total,Nickel,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,"if (0 ≤ hardness ≤ 60) \{ 25 \} else \{ e^{0.76[ln(min(hardness, 180))]+1.06} \} ",ug/L,Averaging period is 4d for long-term and 1hr for short-term. ,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=139,,MK,2020-10-09
Nickel,,",Total",Nickel,CA-SK,SK Gov,EPB 356,Interim,Water,Freshwater,Chronic,if (0 ≤ hardness ≤ 60) \{ 25 \} else if (60 < hardness ≤ 120) \{ 65 \} else if (120 < hardness ≤ 180) \{ 110 \} else if (180 < hardness) \{ 150 \},ug/L,,,http://www.saskh2o.ca/pdf/epb356.pdf,,MK,2020-12-16
Nitrate,as N,,Nitrate,"CA,CA-AB,CA-QC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,124000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Nitrate,as N,,Nitrate,"CA,CA-AB,CA-QC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,3000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Nitrate,as N,,Nitrate,"CA,CA-AB,CA-QC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Acute,339000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Nitrate,as N,,Nitrate,"CA,CA-AB,CA-QC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,45000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Nitrobenzene,,",Total",Nitrobenzene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.02,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total","Nitronaphthalene, 1-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,4,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
o-Nitrophenol,,",Total","Nitrophenol, 2-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.5,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total","Nitrophenol, 3-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,20,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
p-Nitrophenol,,",Total","Nitrophenol, 4-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,50,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
N-Nitrosodimethylamine,,",Total","Nitrosodimethylamine, N",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,15,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
N-Nitrosodiphenylamine,,",Total","Nitrosodiphenylamine, N",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,7,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
N-Nitrosomorpholine,,",Total","Nitrosomorpholine, N",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.9,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Nonylphenol,,",Total",Nonyl phenol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.04,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Nitrate,as NO3,,Nitrate,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,550000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Nitrate,as NO3,,Nitrate,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,13000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Oleic acid,,",Total",Oleic acid,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Nitrate,as NO3,,Nitrate,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Acute,1500000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Nitrate,as NO3,,Nitrate,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,200000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/197/,,,
Parathion,,",Total",Parathion,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.008,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Pentachlorobenzene,,",Total",Pentachlorobenzene,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.03,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Nitrite,as N,,Nitrite,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,60,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=143,,,
Pentachlorophenol,,",Total",Pentachlorophenol,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.5,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
