Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Guideline Publisher,Guideline Name,Status,Media Name,Freshwater or Marine,Guideline Type,Value,Unit,Notes,Look-up table ,Spec Sheet Url,Last Reviewed,Reviewer
Toxicity acute,,,Toxicity,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,0.3,TU,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Toxicity acute,,,Toxicity,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,1,TU,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
,,,Triethylene glycol,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,350,mg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Zinc,,Total,Zinc,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,30,µg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Iron,,Total,Iron,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,1,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Manganese,,Total,Manganese,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,if (25 < hardness < 259) \{ 0.01102hardness + 0.54 \},mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-11,MK
Manganese,,Total,Manganese,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,if (37 < hardness < 450) \{ 0.0044hardness + 0.605 \},mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-11,MK
Manganese,,Total,Manganese,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,100,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Nickel,,Total,Nickel,"CA-BC,CA-YT",BC Gov,,Working,Water,Freshwater,Chronic,if (hardness ≤ 60) \{ 25 \} else if (60 < hardness < 180) \{ e^{0.76ln(hardness)+1.06} \} else \{ 150 \} ,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,2020-09-11,MK
Nickel,,Total,Nickel,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,150,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Silver,,Total,Silver,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,if (100 < hardness) \{ 3.0 \} else \{ 0.1 \},µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-14,MK
Silver,,Total,Silver,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,if (100 < hardness) \{ 1.5 \} else \{ 0.05 \},µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-14,MK
Silver,,Total,Silver,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,3,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Silver,,Total,Silver,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,1.5,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Resorcinol,,,3-hydroxyphenol (resorcinol),"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,12.5,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Hydroquinone,,,"4-hydroxyphenol (hydroqinone, quinol)","CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,4.5,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Acenaphthene,,,Acenaphthene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,6,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
,,,Acridene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,3,µg/L,Phototoxic guideline: 0.05_No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
,,,Acridene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,6,µg/L,Phototoxic guideline: 0.05_No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
,,,Acridene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,6,µg/L,Phototoxic guideline: 0.05_No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Acrolein,,,Acrolein,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,1.14,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
,,,Alcohol ethoxylated surfactants (AE),"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,50,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
,,,Alcohol ethoxylated sulphate (AES),"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,340,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Aluminum,,Dissolved,Aluminum,"CA-BC,CA-AB,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,if (pH < 6.5) \{ e^{1.209 - 2.426pH + 0.286pH^2} \} else \{ 0.1 \},mg/L,For acute use instantaneous pH,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-14,MK
Aluminum,,Dissolved,Aluminum,"CA-BC,CA-AB,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,if (pH < 6.5) \{ e^{1.6 - 3.327pH + 0.402pH^2} \} else \{ 0.05 \},mg/L,For chronic use 30-d median pH,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-14,MK
Anthracene,,,Anthracene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,4,µg/L,Phototoxic guideline: 0.1,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Antimony,,,Antimony (III),"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,9,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Antimony,,,Antimony (III),"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,270,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Barium,,,Barium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,1,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Benz[a]anthracene,,,Benz[a]anthracene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,0.1,µg/L,Phototoxic guideline: 0.1,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Benzene,,,Benzene,"CA-AB,CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,40,µg/L,CCME guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Benzene,,,Benzene,"CA-AB,CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,110,µg/L,CCME guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Benzo[a]pyrene,,,Benzo[a]pyrene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,0.01,µg/L,No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Benzo[a]pyrene,,,Benzo[a]pyrene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,0.01,µg/L,No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Benzo[a]pyrene,,,Benzo[a]pyrene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,0.01,µg/L,No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Beryllium,,,Beryllium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,0.13,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Beryllium,,,Beryllium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,100,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Boron,,Total,Boron,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,1.2,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Boron,,Total,Boron,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,1.2,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Cadmium,,Dissolved,Cadmium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,if (7 < hardness < 455) \{ e^{1.03ln(hardness)-5.274} \},µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-14,MK
Cadmium,,Dissolved,Cadmium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,if (3.4 < hardness < 285) \{ e^{0.736ln(hardness)-4.943} \},µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,2020-09-14,MK
Cadmium,,Dissolved,Cadmium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,0.12,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chlorate,,,Chlorate,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,30,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chlorate,,,Chlorate,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,5,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chloride,,,Chloride,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,600,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chloride,,,Chloride,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,150,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chlorine,,Total Residual,Chlorine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,100,µg/L,"TRC = total residual Cl in fresh water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 4d to 30d._CPO = Cl-produced oxidants in marine or estuarine water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 2d to 30d",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chlorine,,Total Residual,Chlorine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,2,µg/L,"TRC = total residual Cl in fresh water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 4d to 30d._CPO = Cl-produced oxidants in marine or estuarine water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 2d to 30d",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chlorine,,Total Residual,Chlorine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,40,µg/L,"TRC = total residual Cl in fresh water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 4d to 30d._CPO = Cl-produced oxidants in marine or estuarine water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 2d to 30d",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chlorine,,Total Residual,Chlorine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,3,µg/L,"TRC = total residual Cl in fresh water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 4d to 30d._CPO = Cl-produced oxidants in marine or estuarine water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 2d to 30d",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Chlorophyll a,,,Chlorophyll a,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,100,mg/m2,For aquatic life in streams. Apply to naturally growing periphytic algae,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Chrysene,,,Chrysene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,0.1,µg/L,No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Chrysene,,,Chrysene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,0.1,µg/L,No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Cobalt,,Total,Cobalt,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,110,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Cobalt,,Total,Cobalt,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,4,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Copper,,Total,Copper,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,3,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Copper,,Total,Copper,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,2,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Cyanide,as CN,Free Available,Cyanide,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,10,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Cyanide,as CN,Free Available,Cyanide,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,5,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Cyanide,as CN,Free Available,Cyanide,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,1,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Diisopropanolamine,,,Diisopropanolamine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,1.6,µg/L,"Same as CCME chronic guideline, but guideline is not differentiated between chronic and acute in BC guidlines",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Diisopropanolamine,,,Diisopropanolamine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,1.6,µg/L,"Same as CCME chronic guideline, but guideline is not differentiated between chronic and acute in BC guidlines",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Endosulfan,,,Endosulfan,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,0.0007,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Endosulfan,,,Endosulfan,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,0.0016,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,
Ethinyl estradiol,,,"Ethinylestradiol, 17α- (EE2)","CA-AB,CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,0.75,ng/L,Averaging period for long-term is 30-d mean; for short-term is instantaneous maximum,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
